"COUNTRY","Country","ISC11A","ISCED-A 2011","SEX","Gender","AGE","Age","PIAAC_CATEGORY","Category","INDICATOR","Indicator","MEASURE","Measure","YEAR","Reference year","Value","Flag Codes","Flags"
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",38,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",51,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",25,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",16,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",33,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",38,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",32,,
"AUS","Australia","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",44,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",29,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",31,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",27,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",37,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",45,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",30,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",69,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",78,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",61,,
"AUS","Australia","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",45,,
"AUS","Australia","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",51,,
"AUS","Australia","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",39,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",20,,
"CAN","Canada","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",18,,
"CAN","Canada","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",21,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",7,,
"CAN","Canada","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",5,,
"CAN","Canada","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",9,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",3,,
"CAN","Canada","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",3,,
"CAN","Canada","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",3,,
"CAN","Canada","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",7,,
"CAN","Canada","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",6,,
"CAN","Canada","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",8,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",39,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",40,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",38,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",41,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",36,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",46,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",24,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",21,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",28,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",33,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",30,,
"CAN","Canada","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",37,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",42,,
"CAN","Canada","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",42,,
"CAN","Canada","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",41,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",52,,
"CAN","Canada","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",59,,
"CAN","Canada","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",45,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",73,,
"CAN","Canada","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",76,,
"CAN","Canada","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",69,,
"CAN","Canada","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",59,,
"CAN","Canada","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",64,,
"CAN","Canada","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",55,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",10,,
"FIN","Finland","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",9,,
"FIN","Finland","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",12,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",6,,
"FIN","Finland","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",5,,
"FIN","Finland","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",8,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",4,,
"FIN","Finland","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",3,,
"FIN","Finland","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",4,,
"FIN","Finland","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",7,,
"FIN","Finland","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",5,,
"FIN","Finland","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",8,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",51,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",40,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",60,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",47,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",37,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",56,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",29,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",21,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",37,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",44,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",34,,
"FIN","Finland","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",53,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",39,,
"FIN","Finland","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",51,,
"FIN","Finland","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",29,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",47,,
"FIN","Finland","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",58,,
"FIN","Finland","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",36,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",67,,
"FIN","Finland","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",76,,
"FIN","Finland","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",59,,
"FIN","Finland","L5T8","Tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",50,,
"FIN","Finland","L5T8","Tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",61,,
"FIN","Finland","L5T8","Tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",39,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",26,,
"FRA","France","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",27,,
"FRA","France","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",26,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",8,,
"FRA","France","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",7,,
"FRA","France","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",10,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",4,,
"FRA","France","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",4,,
"FRA","France","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",4,,
"FRA","France","L0T2","Below upper secondary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",14,,
"FRA","France","L0T2","Below upper secondary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",14,,
"FRA","France","L0T2","Below upper secondary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",15,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",49,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",47,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED1","Neither parent has attained upper secondary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",51,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",51,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",45,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED2","At least one parent has attained secondary and post-secondary, non-tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",57,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",20,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",15,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","PARED3","At least one parent has attained tertiary","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",25,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","T","Total","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",43,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","F","Women","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",39,,
"FRA","France","L3T4","Upper secondary and post-secondary non-tertiary education","M","Men","Y25T44","25-44 years","_T","Total","PIAAC_SHARE_EA","Share of population by educational attainment","VALUE","Value","2012","2012",48,,
